#{"t_start": 1631274958.9852774, "env_id": null}
r,l,t
1.166667,8,6.565371
1.357143,16,6.625254
-9.642857,16,6.683097
1.261905,12,6.728976
-0.714286,13,6.7788
1.095238,5,6.797749
-0.761905,11,6.838345
-0.809524,9,6.873431
1.333333,15,6.92629
-9.761905,11,6.965495
1.214286,10,7.003355
-9.785714,10,7.039259
1.238095,11,7.080188
1.285714,13,7.13005
-0.714286,13,7.178916
1.095238,5,7.197878
-0.738095,12,7.243748
1.333333,15,7.298605
-9.642857,16,7.355413
1.285714,13,7.403325
-0.857143,7,7.433245
1.333333,15,7.488101
-9.785714,10,7.935721
-9.690476,14,7.990147
-9.785714,10,8.026298
-9.738095,12,8.069745
-0.857143,7,8.098689
-0.690476,14,8.150552
1.190476,9,8.18645
1.214286,10,8.228895
-0.761905,11,8.273802
-9.714286,13,8.320676
-9.738095,12,8.363561
-0.761905,11,8.406446
-0.666667,15,8.462297
-9.714286,13,8.509182
-0.809524,9,8.545075
1.261905,12,8.588957
1.238095,11,8.62985
-9.642857,16,8.686696
1.238095,11,8.72659
-0.809524,9,8.760499
-0.833333,8,8.793137
-9.595238,18,8.857097
-9.738095,12,9.09078
-0.809524,9,9.127839
-0.619048,17,9.198405
-0.809524,9,9.237133
-0.833333,8,9.273038
-0.857143,7,9.303861
-9.761905,11,9.34415
-9.785714,10,9.384005
-0.833333,8,9.414922
-0.714286,13,9.465823
1.142857,7,9.49477
-0.809524,9,9.532844
1.238095,11,9.575493
1.404762,18,9.644309
-0.666667,15,9.701732
1.166667,8,9.765984
-0.714286,13,9.825824
-0.738095,12,9.877388
1.261905,12,9.922754
-0.857143,7,9.954887
-0.857143,7,9.985831
-0.809524,9,10.025097
-0.833333,8,10.060007
1.238095,11,10.105851
-9.809524,9,10.335541
1.238095,11,10.38441
-9.761905,11,10.431259
-9.714286,13,10.484198
-0.761905,11,10.535098
-9.690476,14,10.594903
1.285714,13,10.650752
1.190476,9,10.689699
-0.857143,7,10.725554
-0.880952,6,10.75248
-9.761905,11,10.799354
1.214286,10,10.844235
-9.690476,14,10.90012
-0.761905,11,10.95298
-0.761905,11,11.003844
1.119048,6,11.031734
1.333333,15,11.099588
1.214286,10,11.143436
1.214286,10,11.187317
-9.714286,13,11.247066
1.357143,16,11.313233
-0.928571,4,11.333957
1.166667,8,11.369895
1.238095,11,11.41677
-0.571429,19,11.687697
-0.690476,14,11.754487
1.214286,10,11.802396
1.119048,6,11.836269
1.190476,9,11.885469
1.142857,7,11.914416
-9.690476,14,11.974231
1.214286,10,12.016118
1.166667,8,12.052022
1.119048,6,12.08215
1.190476,9,12.120084
1.309524,14,12.180886
1.190476,9,12.220781
-0.738095,12,12.274967
1.357143,16,12.340614
1.261905,12,12.388248
1.238095,11,12.434019
1.166667,8,12.469021
-9.690476,14,12.529
-0.833333,8,12.562858
-0.904762,5,12.583801
1.261905,12,12.629679
-0.738095,12,12.684532
1.166667,8,12.722442
-9.714286,13,12.95844
1.285714,13,13.009304
-0.833333,8,13.049071
-0.904762,5,13.075186
1.238095,11,13.128123
-0.738095,12,13.184203
-9.690476,14,13.246411
-9.642857,16,13.316191
1.309524,14,13.380055
-9.761905,11,13.424903
1.214286,10,13.468808
-0.809524,9,13.513689
1.261905,12,13.570548
1.166667,8,13.610436
1.238095,11,13.658755
1.142857,7,13.692991
1.238095,11,13.748035
-0.880952,6,13.77995
1.095238,5,13.803919
-9.642857,16,13.874701
-0.785714,10,13.920608
1.166667,8,13.956149
-9.738095,12,14.01214
1.357143,16,14.083942
1.166667,8,14.120919
-9.761905,11,14.372807
1.261905,12,14.428602
1.214286,10,14.473337
1.166667,8,14.510074
1.095238,5,14.532865
-0.928571,4,14.553715
1.190476,9,14.60059
-9.738095,12,14.657847
-0.761905,11,14.705722
-0.928571,4,14.725669
1.238095,11,14.768554
-0.738095,12,14.815429
1.190476,9,14.852331
1.190476,9,14.888958
-0.833333,8,14.924816
-0.690476,14,14.987686
1.285714,13,15.04254
1.190476,9,15.083393
1.261905,12,15.139277
-0.761905,11,15.186117
-9.690476,14,15.247992
1.190476,9,15.289379
1.238095,11,15.337978
-9.690476,14,15.419794
-9.785714,10,15.465672
1.190476,9,15.702707
1.261905,12,15.759869
-0.833333,8,15.79418
-9.690476,14,15.852494
-0.690476,14,15.91511
-9.642857,16,15.98481
1.190476,9,16.026055
-0.785714,10,16.07174
-9.690476,14,16.130338
1.285714,13,16.185223
-0.642857,16,16.254007
-9.761905,11,16.301077
1.119048,6,16.330997
-0.809524,9,16.370015
-0.714286,13,16.428069
-9.738095,12,16.474867
1.238095,11,16.523622
-0.833333,8,16.561521
1.190476,9,16.602237
-9.785714,10,16.647314
1.190476,9,16.685213
-0.833333,8,16.721493
1.166667,8,16.759414
-9.738095,12,16.803578
-9.642857,16,17.036088
1.238095,11,17.082002
-9.714286,13,17.133867
1.261905,12,17.18469
1.238095,11,17.233593
1.166667,8,17.268498
-0.761905,11,17.317335
1.142857,7,17.351244
-0.833333,8,17.388145
1.238095,11,17.436621
1.214286,10,17.480553
1.214286,10,17.524421
1.119048,6,17.553341
1.095238,5,17.577436
-9.547619,20,17.659037
1.119048,6,17.686952
-0.738095,12,17.742803
1.142857,7,17.77372
1.357143,16,17.836724
-9.761905,11,17.880589
-9.809524,9,17.917506
-9.738095,12,17.96534
1.214286,10,18.003238
-0.785714,10,18.046144
1.071429,4,18.066091
-9.642857,16,18.339482
1.285714,13,18.405302
1.238095,11,18.46511
1.238095,11,18.517584
1.095238,5,18.54056
1.214286,10,18.5864
-0.761905,11,18.642252
-0.880952,6,18.678154
1.214286,10,18.729018
1.095238,5,18.750959
-9.666667,15,18.815505
1.333333,15,18.875338
1.190476,9,18.913237
-9.833333,8,18.94616
-0.857143,7,18.97914
1.214286,10,19.026016
-9.690476,14,19.082675
1.190476,9,19.12096
-0.785714,10,19.165593
-0.833333,8,19.201501
1.142857,7,19.240355
1.261905,12,19.290255
1.261905,12,19.340088
1.285714,13,19.396937
-9.690476,14,19.629209
-9.809524,9,19.668747
1.119048,6,19.694464
1.142857,7,19.726378
1.071429,4,19.745623
1.190476,9,19.785759
-0.833333,8,19.82266
1.261905,12,19.872456
1.166667,8,19.905832
-0.857143,7,19.936076
-0.690476,14,19.993459
-0.738095,12,20.044459
1.142857,7,20.07621
-0.833333,8,20.112175
-0.833333,8,20.144893
-9.619048,17,20.209721
-0.761905,11,20.254655
1.095238,5,20.275544
1.190476,9,20.311242
-0.785714,10,20.354125
-0.880952,6,20.379022
-9.785714,10,20.416919
-9.833333,8,20.447837
1.190476,9,20.485785
1.238095,11,20.528621
1.285714,13,20.582784
1.095238,5,20.605723
1.357143,16,20.669915
-9.690476,14,20.882734
1.380952,17,20.949544
-0.761905,11,20.998504
-0.880952,6,21.028393
-9.785714,10,21.067325
-9.714286,13,21.121143
-0.761905,11,21.172007
-0.666667,15,21.249386
1.119048,6,21.281267
1.095238,5,21.308193
-9.666667,15,21.378006
-0.785714,10,21.425879
-9.714286,13,21.485719
-9.690476,14,21.551543
1.214286,10,21.600412
1.166667,8,21.638311
1.238095,11,21.692166
-9.738095,12,21.749304
-0.809524,9,21.792227
1.309524,14,21.854024
1.214286,10,21.900899
-0.904762,5,21.929821
-9.690476,14,21.990733
-9.761905,11,22.240812
-9.642857,16,22.312624
-0.714286,13,22.369664
1.071429,4,22.389612
-0.785714,10,22.435489
-0.761905,11,22.503972
1.238095,11,22.552956
-0.785714,10,22.599833
1.238095,11,22.645677
1.190476,9,22.689593
-0.880952,6,22.720476
-9.714286,13,22.773334
1.190476,9,22.812231
1.166667,8,22.84817
-0.738095,12,22.901028
1.285714,13,22.958872
-0.690476,14,23.0237
1.261905,12,23.078519
-9.761905,11,23.124396
1.095238,5,23.148367
1.142857,7,23.181285
1.119048,6,23.209201
1.166667,8,23.243078
1.214286,10,23.287277
-9.761905,11,23.33382
-0.857143,7,23.367765
1.285714,13,23.614891
-0.785714,10,23.658806
1.285714,13,23.718646
-9.785714,10,23.765495
-0.833333,8,23.800172
-9.738095,12,23.851822
1.214286,10,23.898335
1.119048,6,23.924303
-0.809524,9,23.969146
-9.642857,16,24.032859
-0.690476,14,24.093539
-9.666667,15,24.170334
1.285714,13,24.230185
1.238095,11,24.295964
-9.642857,16,24.369768
1.190476,9,24.41321
-0.690476,14,24.497628
1.190476,9,24.543505
1.357143,16,24.623292
-0.666667,15,24.701083
-0.904762,5,24.734993
-0.880952,6,24.768929
-9.642857,16,25.056638
1.238095,11,25.109808
-0.857143,7,25.146396
-0.809524,9,25.193269
-0.666667,15,25.272092
1.119048,6,25.306003
1.190476,9,25.349851
-0.785714,10,25.396726
1.238095,11,25.44759
1.214286,10,25.495463
-9.857143,7,25.544332
1.214286,10,25.605202
1.285714,13,25.669005
1.166667,8,25.705948
1.214286,10,25.763757
1.357143,16,25.875458
-0.904762,5,25.917346
-0.738095,12,25.979335
-0.809524,9,26.042153
1.071429,4,26.0631
1.214286,10,26.113962
1.095238,5,26.139892
-0.761905,11,26.200729
1.309524,14,26.273539
-0.809524,9,26.324398
1.119048,6,26.355315
-0.857143,7,26.393215
-0.880952,6,26.659618
-0.904762,5,26.68655
1.285714,13,26.75237
1.285714,13,26.815167
1.380952,17,26.891961
1.285714,13,26.962773
-0.809524,9,27.009513
1.261905,12,27.068321
-0.642857,16,27.146732
1.095238,5,27.17273
-9.690476,14,27.26678
-0.833333,8,27.309365
-9.785714,10,27.358234
-0.880952,6,27.392142
1.238095,11,27.511823
-0.690476,14,27.671397
-0.666667,15,27.798058
-0.833333,8,27.848923
1.142857,7,27.914747
1.095238,5,27.958628
-0.714286,13,28.03642
1.119048,6,28.076313
-0.714286,13,28.140142
1.190476,9,28.220415
1.214286,10,28.331631
1.261905,12,28.782425
-0.880952,6,28.816334
1.142857,7,28.850659
-0.857143,7,28.897578
-0.785714,10,28.948399
1.095238,5,28.987294
-0.738095,12,29.04218
1.261905,12,29.103018
1.238095,11,29.152926
-0.785714,10,29.200529
-9.738095,12,29.256379
1.380952,17,29.334172
1.166667,8,29.374066
1.142857,7,29.405979
-9.738095,12,29.458838
-0.785714,10,29.503718
1.214286,10,29.547927
-0.761905,11,29.598757
1.166667,8,29.634765
-0.714286,13,29.689499
-9.809524,9,29.731486
1.285714,13,29.803282
1.214286,10,29.876086
-0.833333,8,29.917974
1.190476,9,29.961893
-9.714286,13,30.195625
-9.761905,11,30.241081
1.190476,9,30.279719
1.166667,8,30.313219
-9.619048,17,30.3782
1.214286,10,30.422065
-0.904762,5,30.445487
1.261905,12,30.496351
1.214286,10,30.540401
1.095238,5,30.561082
-0.738095,12,30.608943
-9.785714,10,30.648799
-0.666667,15,30.711504
-0.785714,10,30.753191
1.095238,5,30.775116
-9.666667,15,30.834923
-0.761905,11,30.880799
1.142857,7,30.910718
-0.809524,9,30.950655
1.261905,12,30.997702
-0.690476,14,31.055213
1.333333,15,31.112132
1.119048,6,31.140813
1.166667,8,31.183698
-0.809524,9,31.23157
-0.809524,9,31.440435
-0.833333,8,31.476559
1.119048,6,31.503038
1.309524,14,31.562082
1.214286,10,31.604366
1.095238,5,31.62651
-0.833333,8,31.661302
-0.761905,11,31.707658
1.333333,15,31.7665
-9.761905,11,31.810274
1.285714,13,31.86413
-9.690476,14,31.926521
-0.714286,13,31.986361
1.214286,10,32.029141
1.261905,12,32.080987
-9.738095,12,32.135803
-0.785714,10,32.17938
-0.785714,10,32.226467
1.190476,9,32.26241
1.190476,9,32.303301
1.190476,9,32.342158
1.214286,10,32.381053
1.238095,11,32.429646
-0.809524,9,32.468908
-0.714286,13,32.525082
-0.833333,8,32.729073
1.166667,8,32.76494
-9.857143,7,32.792306
-0.880952,6,32.820265
-9.714286,13,32.873041
1.214286,10,32.912822
1.095238,5,32.936768
1.166667,8,32.97168
1.190476,9,33.014602
-0.785714,10,33.065715
1.261905,12,33.114701
1.095238,5,33.138597
-9.761905,11,33.179488
1.166667,8,33.213397
-0.809524,9,33.251934
-0.857143,7,33.283848
1.142857,7,33.314833
-9.761905,11,33.358756
-9.809524,9,33.395667
-0.666667,15,33.460444
1.071429,4,33.477437
-0.785714,10,33.523276
-0.809524,9,33.563169
-9.809524,9,33.60007
1.166667,8,33.636599
-0.738095,12,33.6893
1.261905,12,33.737172
1.285714,13,33.793832
1.190476,9,34.000277
1.285714,13,34.05317
-0.833333,8,34.091073
1.309524,14,34.15686
-0.738095,12,34.208937
1.285714,13,34.263071
1.238095,11,34.310943
1.309524,14,34.366529
-9.714286,13,34.416594
-9.785714,10,34.460275
-0.809524,9,34.501394
1.095238,5,34.527325
1.119048,6,34.558242
-0.833333,8,34.595891
-0.833333,8,34.630926
-9.666667,15,34.689751
-9.761905,11,34.736956
-9.761905,11,34.779845
1.238095,11,34.82441
1.142857,7,34.854635
1.309524,14,34.914906
-9.690476,14,34.972699
1.380952,17,35.044546
-0.761905,11,35.259995
1.238095,11,35.308883
1.190476,9,35.347595
-9.761905,11,35.393587
-0.785714,10,35.439464
1.238095,11,35.486484
-0.833333,8,35.523388
1.095238,5,35.549317
-0.761905,11,35.596782
-0.857143,7,35.629694
1.142857,7,35.662607
-0.809524,9,35.702118
1.238095,11,35.745399
-0.833333,8,35.783091
1.238095,11,35.830004
1.119048,6,35.857932
1.380952,17,35.928701
1.214286,10,35.97561
1.261905,12,36.02644
1.214286,10,36.070323
-9.738095,12,36.119553
1.285714,13,36.169382
-9.642857,16,36.232497
1.095238,5,36.255402
-9.761905,11,36.298669
-9.738095,12,36.519351
-0.690476,14,36.577083
1.095238,5,36.600021
1.214286,10,36.640476
-0.761905,11,36.686866
-0.738095,12,36.735426
-0.928571,4,36.7575
1.285714,13,36.809402
1.214286,10,36.848466
1.142857,7,36.878015
-0.880952,6,36.903325
1.071429,4,36.922324
-0.904762,5,36.945988
1.238095,11,36.992863
1.238095,11,37.037982
-9.738095,12,37.085015
-9.761905,11,37.126897
-0.714286,13,37.186881
-0.880952,6,37.217109
1.261905,12,37.275952
1.238095,11,37.325685
1.214286,10,37.370565
1.214286,10,37.418439
1.333333,15,37.489249
