#{"t_start": 1631273319.9714222, "env_id": null}
r,l,t
1.142857,7,402.917322
-9.738095,12,402.957283
1.142857,7,402.982073
1.166667,8,403.013008
-9.714286,13,403.056868
-9.785714,10,403.091748
1.309524,14,403.140615
-0.761905,11,403.180508
-9.619048,17,403.225746
1.166667,8,403.257028
1.309524,14,403.303893
-0.714286,13,403.350758
-9.761905,11,403.392198
-9.785714,10,403.428211
1.214286,10,403.465152
1.166667,8,403.494075
-9.761905,11,403.52998
-0.738095,12,403.571264
1.119048,6,403.586846
1.142857,7,403.625365
-0.738095,12,403.664425
1.190476,9,403.695707
-0.690476,14,403.737374
1.119048,6,403.769037
1.095238,5,403.784696
1.238095,11,404.233595
-0.690476,14,404.280518
-0.880952,6,404.311754
-0.833333,8,404.342992
1.166667,8,404.374236
-0.880952,6,404.389859
-9.642857,16,404.452345
1.190476,9,404.483588
-9.666667,15,404.530452
1.309524,14,404.577277
-0.857143,7,404.608557
1.071429,4,404.624179
-9.738095,12,404.671045
1.214286,10,404.702298
1.261905,12,404.74911
-0.666667,15,404.811634
1.238095,11,404.842879
-9.666667,15,404.889827
-0.928571,4,404.921126
1.166667,8,404.936749
-0.809524,9,404.983575
1.238095,11,405.016515
-9.690476,14,405.06338
1.261905,12,405.110204
1.261905,12,405.299245
1.309524,14,405.346108
-0.857143,7,405.37735
-0.738095,12,405.408632
1.119048,6,405.439875
1.190476,9,405.471089
-9.714286,13,405.517983
1.214286,10,405.549226
-0.857143,7,405.580428
1.119048,6,405.596088
1.190476,9,405.627292
-9.642857,16,405.689778
-9.738095,12,405.736686
-9.714286,13,405.767925
-9.619048,17,405.830386
-0.761905,11,405.877234
1.380952,17,405.939757
-0.928571,4,405.95538
-0.857143,7,405.971001
-0.809524,9,406.017869
-0.738095,12,406.049118
-9.809524,9,406.080349
-0.738095,12,406.127213
-0.714286,13,406.174078
-0.833333,8,406.362669
1.142857,7,406.378224
1.142857,7,406.409503
1.214286,10,406.456368
1.166667,8,406.48761
1.190476,9,406.518855
1.190476,9,406.550097
1.095238,5,406.565679
-0.761905,11,406.612581
1.071429,4,406.628202
1.261905,12,406.659445
-0.857143,7,406.690687
1.142857,7,406.721893
-9.666667,15,406.768796
1.119048,6,406.784416
1.214286,10,406.831242
1.166667,8,406.862528
1.285714,13,406.909386
-0.738095,12,406.940628
-9.857143,7,406.971834
1.309524,14,407.018738
-0.714286,13,407.065613
1.261905,12,407.112464
-0.761905,11,407.143667
-9.738095,12,407.190533
1.214286,10,407.228149
-0.809524,9,407.259431
-9.714286,13,407.446849
