instance;objectif;temps(s)
test100-SC(1).txt;91;0.031
test100-SC(2).txt;88;0.031
test100-SC(3).txt;90;0.031
test100-SC(4).txt;91;0.016
test100-SC(5).txt;89;0.063
test250-SC(1).txt;91;0.016
test250-SC(2).txt;90;0.016
test250-SC(3).txt;91;0.016
test250-SC(4).txt;91;0.032
test250-SC(5).txt;91;0.016
test500-SC(1).txt;91;0.031
test500-SC(2).txt;91;0.015
test500-SC(3).txt;91;0.032
test500-SC(4).txt;91;0.016
test500-SC(5).txt;105;0.047
test1000-SC(1).txt;91;0.015
test1000-SC(2).txt;91;0.016
test1000-SC(3).txt;134;0.078
test1000-SC(4).txt;181;0.062
test1000-SC(5).txt;219;0.047
test2000-SC(1).txt;91;0.031
test2000-SC(2).txt;182;0.047
test2000-SC(3).txt;274;0.031
test2000-SC(4).txt;360;0.047
