"Date","Price (High)","Price (Open)","Price (Low)","Volatility"
"2021-08-17","268.10146720240124","263.2249451821302","260.07540615189856",""
"2021-08-16","273.4977404974022","266.93099140704214","259.8776014270017","1.7141977218968067"
"2021-08-15","271.767540210927","269.45171592536013","254.59919915024815",""
"2021-08-14","280.3379547292253","278.0075119815269","260.3416117132315",""
"2021-08-13","281.5297000250919","268.61158703234594","264.06840475729103","1.731452644623681"
"2021-08-12","296.12332173362904","265.82671562480317","252.73080322640612","1.7364045272854087"
"2021-08-11","280.88634160209267","256.3439791321704","255.02163088624116","1.758674381804994"
"2021-08-10","270.59985276973003","262.7604635559726","246.21469389608427","1.7554704623860504"
"2021-08-09","277.56874934420466","244.19914109091303","234.94051691569013","1.7612865630481587"
"2021-08-08","272.01532281081523","269.60648565405705","232.26573018635852","1.7443786276066635"
"2021-08-07","277.8670968260848","254.46094522570394","248.09713002408378","1.7138570204977888"
"2021-08-06","275.31590728466693","230.04494034032416","225.38817606530588","1.7024177293551745"
"2021-08-05","233.05010221828093","231.58420833650408","218.97939427955606","1.662985087259685"
"2021-08-04","237.65410896208638","221.73384468000816","214.03302667074627","1.6639344555686857"
"2021-08-03","234.0352645470139","226.64740564263775","211.7166593158428","1.655143475865212"
"2021-08-02","238.3153403816872","232.59633291629294","225.03132418896928","1.6713859870411572"
"2021-08-01","267.8074493949563","265.50307307491244","223.98594725092835","1.6695963051979072"
"2021-07-31","285.4090578133473","283.2025224717671","243.1715804413258","1.6199550471248183"
"2021-07-30","294.6834279830709","200.91524766798025","199.95533687910003","1.6192431290205385"
"2021-07-29","204.75955892867736","191.55184768419775","188.37889873360803","0.9041807163110016"
"2021-07-28","194.89271143657547","191.06254542311666","188.4769852257211","0.8818579046751704"
"2021-07-27","199.6838436107757","196.61324843184323","184.53582958392747","0.8830562296526105"
"2021-07-26","215.99256803014202","184.02393321239524","182.59887714906063","0.8875091537631293"
"2021-07-25","188.56074658649754","188.07653127819773","179.16128552034888","0.8831683165133531"
"2021-07-24","190.14632419960319","180.57459109647684","179.50169998433702","0.8828228468941808"
