,Création,Identifier,adress,raisonSociale,madalite,matriculeFiscale,ID,email,ID facture
0,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
1,2020-10-16T14:03:12.048Z,-1152597577000,"Rue Mohamed Eddorra 8062 Nabeul, Tunisie",Cabdephar para,,1495767 Y/A/M 000,188900,,164276473000
2,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
3,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
4,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
5,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
6,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
7,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
8,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
9,2020-05-19T21:28:46.099Z,1412711657000,Route Menzel Chaker km 1.5 3042 Sfax,PROD PHARMA,,1384284 R/M 0000,188100,,164276473000
10,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
11,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
12,2021-02-23T11:34:44.446Z,251012358000,7 Rue El Aghaliba le Bardo 2000,MEDIGROS,,1350558 Q/P/M 000,189050,,164276473000
13,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
14,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
15,2021-02-23T10:23:48.726Z,1744162956000,66 Rue Victor Hugo SOUSSE,Medica Center,,020121 V/P/M 000,189350,,164276473000
16,2020-10-01T15:01:22.422Z,38058271000,AV.Farhat Hached GABES,Kipropha,,649492 K P M 000,189750,,164276473000
17,2020-05-19T21:28:45.082Z,-2006931619000,Rue Ahmed Tlili Ksar Gafsa,MedEX,,1030362 Z/P/M 000,188350,,164276473000
18,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
19,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
20,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
21,2020-10-16T11:55:57.800Z,1789596924000,"Avenue El Farabi, Dar Chaabane El Fehri, Nabeul",Galien,,1282400 L/A/M 000,190250,,164276473000
22,2020-10-16T11:16:32.559Z,-1136420608000,Rue De Theatre CitÃ© A Lido 8075 Dar Chaabane Fehri-Nabeul,COPHADIS,,1487744 T/P/M 000,190450,,164276473000
23,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
24,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
25,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
26,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
27,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
28,2020-05-19T21:28:46.099Z,1412711657000,Route Menzel Chaker km 1.5 3042 Sfax,PROD PHARMA,,1384284 R/M 0000,188100,,164276473000
29,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
30,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
31,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
32,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
33,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
34,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
35,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
36,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
37,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
38,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
39,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
40,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
41,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
42,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
43,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
44,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
45,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
46,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
47,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
