,date,reference,paymentDelay,createdAt,identifier,paymentMethod,paye,client,numeroCheque,ID_Produits,id,status
0,2020-02-21T12:35:32.068Z,1000247,2021-08-08T00:16:46.169Z,2020-02-21T12:36:13.068Z,1666239562000,check,True,188450,,"{38350: 70, 38500: 48}",1035650,True
0,2021-01-02T23:00:00Z,1100008,2021-04-12T23:00:00Z,2021-01-05T08:56:54.181Z,-1187824257000,traite,True,188900,,"{38550: 48, 38450: 96, 38650: 48, 38300: 24, 38500: 48}",1035650,True
0,2021-01-26T23:00:00Z,1100031,2021-04-26T22:00:00Z,2021-01-28T11:30:19.707Z,-2080658422000,traite,True,188450,,{38500: 48},1035650,True
0,2019-11-14T12:14:03.068Z,1000182,2021-08-08T00:16:47.362Z,2019-11-14T12:14:03.068Z,-992794964000,check,True,189950,,"{38550: 24, 38600: 96}",1035650,True
0,2019-02-14T17:09:11.068Z,1000030,2021-08-08T00:16:47.660Z,2019-02-14T17:09:11.068Z,-1766696871000,check,True,189950,,{38400: 192},1035650,True
0,2020-03-02T12:45:28.068Z,1000257,2021-08-08T00:16:47.958Z,2020-03-02T12:45:28.068Z,-1588476997000,check,True,188700,,{38500: 24},1035650,True
0,2020-11-14T23:00:00Z,1000405,2021-02-16T23:00:00Z,2020-11-16T15:19:28.768Z,1769994592000,traite,True,188700,,"{38500: 48, 38400: 48, 38600: 24}",1035650,True
0,2020-01-13T08:24:39.068Z,1000213,2021-08-08T00:16:48.555Z,2020-01-13T08:24:39.068Z,-832714912000,check,True,189900,,"{38350: 384, 38550: 1200, 38600: 384, 38300: 384}",1035650,True
0,2019-10-03T18:36:37.068Z,1000153,2021-08-08T00:16:48.854Z,2019-10-03T18:36:37.068Z,-216159162000,check,True,189000,,{},1035650,True
0,2020-12-10T23:00:00Z,1000422,2021-08-08T00:16:49.151Z,2020-12-10T08:01:41.795Z,1942158990000,check,True,188100,,"{38600: 24, 38550: 24, 38650: 24, 38450: 24, 38500: 24}",1035650,True
0,2020-08-18T22:00:00Z,1000336,2021-08-08T00:16:49.452Z,2020-09-11T12:02:38.837Z,-1695158422000,check,True,189300,,"{38650: 96, 38600: 48}",1035650,True
0,2019-10-02T21:10:31.068Z,1000151,2021-08-08T00:16:49.750Z,2019-10-02T21:10:31.068Z,-49777155000,check,True,189300,,"{38350: 30, 38550: 240, 38400: 320}",1035650,True
0,2021-03-01T23:00:00Z,1100054,2021-06-04T22:00:00Z,2021-02-27T07:53:31.588Z,908795386000,traite,True,189050,,"{38650: 24, 38350: 24, 38500: 24, 38400: 48, 38600: 24, 38450: 48, 38550: 48}",1035650,True
0,2020-02-09T19:05:10.068Z,1000239,2021-08-08T00:16:50.655Z,2020-02-09T19:05:10.068Z,1175616480000,check,True,189950,,"{38300: 70, 38600: 150, 38350: 140, 38500: 160, 38400: 1200}",1035650,True
0,2019-12-05T15:26:52.068Z,1000190,2021-08-08T00:16:50.956Z,2019-12-05T15:26:52.068Z,765105371000,check,True,190350,,"{38550: 48, 38600: 48, 38300: 48, 38400: 48}",1035650,True
0,2021-02-21T23:00:00Z,1100049,2021-08-08T00:16:51.256Z,2021-02-23T10:24:16.094Z,87013182000,check,True,189350,244788,"{38450: 48, 38500: 24, 38300: 24, 38600: 24, 38350: 24, 38550: 48, 38400: 48}",1035650,True
0,2021-01-04T23:00:00Z,1100012,2021-03-03T08:00:00Z,2021-01-06T14:06:01.219Z,-323632721000,traite,True,189750,,"{38500: 48, 38300: 48, 38400: 96, 38350: 48, 38550: 48}",1035650,True
0,2019-11-11T11:39:20.068Z,1000178,2021-08-08T00:16:51.854Z,2019-11-11T11:39:20.068Z,-1264453731000,check,True,188350,,"{38550: 24, 38300: 12, 38400: 24}",1035650,True
0,2019-07-08T11:51:48.068Z,1000095,2021-08-08T00:16:52.152Z,2019-07-08T11:51:48.068Z,-1277667793000,check,True,189300,,{},1035650,True
0,2019-09-12T20:35:50.068Z,1000136,2021-08-08T00:16:52.448Z,2019-09-12T20:35:50.068Z,-98506020000,check,True,189900,,"{38600: 19, 38400: 24, 38550: 48}",1035650,True
0,2019-06-16T19:51:39.068Z,1000082,2021-08-08T00:16:52.746Z,2019-06-16T19:51:39.068Z,613188420000,check,True,189400,,"{38400: 192, 38600: 48, 38300: 96, 38550: 192}",1035650,True
0,2020-11-10T23:00:00Z,1000403,2021-03-09T23:00:00Z,2020-11-11T10:41:07.763Z,-774106825000,traite,True,190250,,"{38350: 12, 38500: 24, 38400: 24, 38450: 24}",1035650,True
0,2021-01-04T23:00:00Z,1100009,2021-05-03T22:00:00Z,2021-01-05T09:43:47.408Z,-861139133000,traite,True,190450,,"{38400: 48, 38300: 12, 38650: 12, 38350: 24, 38550: 48}",1035650,True
