Date,Quantité
2019-01-09,48
2019-01-22,48
2019-02-11,24
2019-02-14,96
2019-03-31,168
2019-06-26,48
2019-08-02,48
2019-08-29,48
2019-09-04,48
2019-09-09,72
2019-10-02,320
2019-10-26,144
2019-12-08,144
2019-12-16,144
2020-01-08,144
2020-01-21,144
2020-01-28,360
2020-02-02,140
2020-02-07,490
2020-03-13,240
2020-06-09,48
2020-07-17,48
2020-09-10,96
2020-09-17,96
2020-09-18,96
2020-09-28,96
2020-10-09,48
2020-10-26,240
2020-11-20,96
2020-12-11,144
2021-01-04,96
2021-01-10,288
2021-01-17,480
2021-03-31,480
2021-04-19,480
2021-07-03,144
2021-10-01,480
2021-11-02,240
2021-11-17,240
2021-12-08,480
