Catégorie : Toutes catégories

Semaine,toux: (Tunisie)
2017-04-02,15
2017-04-09,9
2017-04-16,17
2017-04-23,10
2017-04-30,27
2017-05-07,12
2017-05-14,15
2017-05-21,5
2017-05-28,11
2017-06-04,12
2017-06-11,18
2017-06-18,10
2017-06-25,12
2017-07-02,12
2017-07-09,10
2017-07-16,17
2017-07-23,9
2017-07-30,14
2017-08-06,18
2017-08-13,15
2017-08-20,16
2017-08-27,12
2017-09-03,11
2017-09-10,4
2017-09-17,18
2017-09-24,20
2017-10-01,18
2017-10-08,14
2017-10-15,31
2017-10-22,34
2017-10-29,44
2017-11-05,28
2017-11-12,27
2017-11-19,31
2017-11-26,25
2017-12-03,28
2017-12-10,52
2017-12-17,32
2017-12-24,48
2017-12-31,40
2018-01-07,44
2018-01-14,43
2018-01-21,24
2018-01-28,34
2018-02-04,19
2018-02-11,42
2018-02-18,49
2018-02-25,22
2018-03-04,39
2018-03-11,23
2018-03-18,24
2018-03-25,36
2018-04-01,26
2018-04-08,13
2018-04-15,22
2018-04-22,25
2018-04-29,33
2018-05-06,16
2018-05-13,30
2018-05-20,18
2018-05-27,23
2018-06-03,7
2018-06-10,12
2018-06-17,19
2018-06-24,11
2018-07-01,20
2018-07-08,12
2018-07-15,12
2018-07-22,12
2018-07-29,9
2018-08-05,20
2018-08-12,19
2018-08-19,15
2018-08-26,22
2018-09-02,17
2018-09-09,24
2018-09-16,20
2018-09-23,14
2018-09-30,27
2018-10-07,25
2018-10-14,18
2018-10-21,23
2018-10-28,25
2018-11-04,19
2018-11-11,24
2018-11-18,15
2018-11-25,29
2018-12-02,33
2018-12-09,31
2018-12-16,39
2018-12-23,41
2018-12-30,36
2019-01-06,33
2019-01-13,24
2019-01-20,33
2019-01-27,22
2019-02-03,41
2019-02-10,52
2019-02-17,30
2019-02-24,49
2019-03-03,44
2019-03-10,22
2019-03-17,33
2019-03-24,32
2019-03-31,19
2019-04-07,31
2019-04-14,27
2019-04-21,10
2019-04-28,32
2019-05-05,27
2019-05-12,16
2019-05-19,36
2019-05-26,24
2019-06-02,18
2019-06-09,26
2019-06-16,14
2019-06-23,9
2019-06-30,23
2019-07-07,5
2019-07-14,26
2019-07-21,15
2019-07-28,5
2019-08-04,15
2019-08-11,10
2019-08-18,7
2019-08-25,23
2019-09-01,11
2019-09-08,15
2019-09-15,9
2019-09-22,11
2019-09-29,32
2019-10-06,25
2019-10-13,37
2019-10-20,18
2019-10-27,16
2019-11-03,20
2019-11-10,30
2019-11-17,17
2019-11-24,21
2019-12-01,38
2019-12-08,33
2019-12-15,39
2019-12-22,37
2019-12-29,28
2020-01-05,34
2020-01-12,53
2020-01-19,51
2020-01-26,60
2020-02-02,48
2020-02-09,48
2020-02-16,32
2020-02-23,36
2020-03-01,47
2020-03-08,67
2020-03-15,100
2020-03-22,62
2020-03-29,50
2020-04-05,28
2020-04-12,22
2020-04-19,15
2020-04-26,6
2020-05-03,21
2020-05-10,16
2020-05-17,13
2020-05-24,13
2020-05-31,10
2020-06-07,10
2020-06-14,11
2020-06-21,5
2020-06-28,11
2020-07-05,19
2020-07-12,20
2020-07-19,14
2020-07-26,21
2020-08-02,26
2020-08-09,34
2020-08-16,21
2020-08-23,31
2020-08-30,14
2020-09-06,17
2020-09-13,22
2020-09-20,38
2020-09-27,37
2020-10-04,27
2020-10-11,38
2020-10-18,32
2020-10-25,43
2020-11-01,40
2020-11-08,34
2020-11-15,26
2020-11-22,32
2020-11-29,31
2020-12-06,21
2020-12-13,39
2020-12-20,50
2020-12-27,33
2021-01-03,33
2021-01-10,26
2021-01-17,33
2021-01-24,41
2021-01-31,36
2021-02-07,48
2021-02-14,34
2021-02-21,29
2021-02-28,26
2021-03-07,27
2021-03-14,42
2021-03-21,22
2021-03-28,34
2021-04-04,45
2021-04-11,58
2021-04-18,41
2021-04-25,47
2021-05-02,42
2021-05-09,26
2021-05-16,31
2021-05-23,29
2021-05-30,19
2021-06-06,27
2021-06-13,14
2021-06-20,24
2021-06-27,55
2021-07-04,61
2021-07-11,38
2021-07-18,30
2021-07-25,15
2021-08-01,17
2021-08-08,20
2021-08-15,27
2021-08-22,18
2021-08-29,38
2021-09-05,32
2021-09-12,22
2021-09-19,37
2021-09-26,37
2021-10-03,18
2021-10-10,38
2021-10-17,35
2021-10-24,58
2021-10-31,26
2021-11-07,71
2021-11-14,37
2021-11-21,37
2021-11-28,63
2021-12-05,29
2021-12-12,53
2021-12-19,38
2021-12-26,59
2022-01-02,51
2022-01-09,57
2022-01-16,67
2022-01-23,61
2022-01-30,70
2022-02-06,39
2022-02-13,38
2022-02-20,26
2022-02-27,26
2022-03-06,14
2022-03-13,49
2022-03-20,29
2022-03-27,0
