"";"Post ID";"Name";"Publication Date";"Message";"Post Url";"(view source)";"Comments Count";"Reactions Count";"Shares Count";"Views Count";"LIKE";"LOVE";"SUPPORT";"HAHA";"ANGER";"WOW";"SORRY"
"1";"ID: 5364935076872239";"Ubisoft";"Tue Apr 12 18:00:00 WAT 2022";"حان وقت دعوة أصدقائكم إلى #Anno1800! ⛵-من 12 حتى 19 أبريل، أدعوا أصدقاءكم ليحصل كلاكما على حزمة الزينات الموسمية عند شرائهم اللعبة!";"https://www.facebook.com/5364935076872239";"view post";"2";"20";"0";"0";"17";"3";"";"";"";"";""
"2";"ID: 5364683173564096";"Ubisoft";"Tue Apr 12 16:00:57 WAT 2022";"يبدأ عام #Anno1800 الرابع بإضافة جديدة تغير وجه الزراعة في العالم الجديد. بالإضافة إلى ذلك تقدم لكم فرصة لعب اللعبة الأساية مجاناً! 🔥-انضموا إلى مجتمع Anno الآن: freeweekend.ubisoft.com/anno1800";"https://www.facebook.com/5364683173564096";"view post";"5";"29";"0";"0";"19";"8";"2";"";"";"";""
"3";"ID: 5362115307154216";"Ubisoft";"Mon Apr 11 16:01:01 WAT 2022";"سيارة Porsche 550 Spyder كانت سيارة سباق أنتجتها Porsche من 1953 حتى 1956 📜-#TheCrew2";"https://www.facebook.com/5362115307154216";"view post";"3";"31";"0";"0";"25";"5";"1";"";"";"";""
"4";"ID: 5385974401434973";"Ubisoft";"Wed Apr 20 17:00:49 WAT 2022";"اكسبوا مكانتكم في فالهالا 🪓-حزمة Ragnarök متوفرة الآن في #TheCrew2 🗓️";"https://www.facebook.com/5385974401434973";"view post";"0";"46";"1";"0";"38";"8";"";"";"";"";""
"5";"ID: 5375416739157406";"Ubisoft";"Sat Apr 16 16:01:38 WAT 2022";"أكملوا قصة هذا الأسبوع واحصلوا على Beechcraft Model 17 Staggerwing! 🛩️-#TheCrew2";"https://www.facebook.com/5375416739157406";"view post";"0";"23";"0";"0";"19";"4";"";"";"";"";""
"6";"ID: 5370010799698000";"Ubisoft";"Thu Apr 14 16:00:02 WAT 2022";"شخصيات أبدية.-#FarCry";"https://www.facebook.com/5370010799698000";"view post";"23";"254";"5";"0";"161";"82";"3";"7";"1";"";""
"7";"ID: 5404635312902215";"Ubisoft";"Wed Apr 27 13:01:29 WAT 2022";"حلبة Showdown وصلت!-انضموا إلى Showdown والعبوا مع أصدقائكم وتنافسوا ضد لاعبين آخرين. شاهدوا العرض لمعرفة كل ما هو قادم في موسم #RidersRepublic التالي!";"https://www.facebook.com/5404635312902215";"view post";"1";"23";"1";"0";"20";"2";"";"1";"";"";""
"8";"ID: 5402451673120579";"Ubisoft";"Tue Apr 26 18:00:21 WAT 2022";"كل سنة والرئيس جانكارلو إسباسيتو بخير!-#FarCry6";"https://www.facebook.com/5402451673120579";"view post";"29";"222";"3";"0";"140";"71";"5";"4";"";"1";"1"
"9";"ID: 5386206234745123";"Ubisoft";"Wed Apr 20 19:00:00 WAT 2022";"نشكر كل لاعبي #FarCry6 جزيل الشكر، ونرحب بالمقاتلين الجدد الذين انضموا إلينا خلال عطلة الأسبوع المجانية.-نتشوق لبداية هذه المغامرة معاً، نراكم في يارا!";"https://www.facebook.com/5386206234745123";"view post";"16";"63";"0";"0";"52";"10";"";"";"1";"";""
"10";"ID: 5415350638497349";"Ubisoft";"Sun May 01 10:58:17 WAT 2022";"من جميع فرق Ubisoft، عيد مبارك وسعيد!-كل سنة وانتو طيبين وألف صحة وسلامة لكم ولحبايبكم.";"https://www.facebook.com/5415350638497349";"view post";"45";"613";"8";"0";"338";"259";"12";"2";"2";"";""
"11";"ID: 5408209472544799";"Ubisoft";"Thu Apr 28 19:00:19 WAT 2022";"خيارات عديدة، قديمة وجديدة! اضغطوا لتعرفوا أي لعبة من سلسلة #FarCry لازم تلعبوها.";"https://www.facebook.com/5408209472544799";"view post";"5";"51";"0";"0";"37";"13";"1";"";"";"";""
"12";"ID: 5405191369513276";"Ubisoft";"Wed Apr 27 17:00:01 WAT 2022";"مين أفضل ثنائي؟ 🤔-#FarCry";"https://www.facebook.com/5405191369513276";"view post";"15";"28";"0";"0";"23";"3";"1";"1";"";"";""
